affiliation,population,region
Philippine Independent Catholic Church,2539.0,REGION VIII
Potter’s House Christian Center,88.0,REGION VIII
"Roman Catholic, including Catholic Charismatic",4108036.0,REGION VIII
"Salvation Army, Philippines",310.0,REGION VIII
Seventh Day Adventist,29610.0,REGION VIII
Things to Come,56.0,REGION VIII
UNIDA Evangelical Church,10.0,REGION VIII
"Union Espiritista Cristiana de Filipinas, Incorporated",88.0,REGION VIII
United Church of Christ in the Philippines,25167.0,REGION VIII
"United Pentecostal Church (Philippines), Incorporated",6880.0,REGION VIII
Victory Chapel Christian Fellowship,554.0,REGION VIII
"Way of Salvation Church, Incorporated",33.0,REGION VIII
Other Baptists,2589.0,REGION VIII
Other Protestants,3833.0,REGION VIII
Other Religious Affiliations,41578.0,REGION VIII
Tribal Religions,592.0,REGION VIII
None,12.0,REGION VIII
Not Reported,159.0,REGION VIII
Aglipay,34879.0,REGION I
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",191.0,REGION I
Association of Fundamental Baptist Churches in the Philippines,505.0,REGION I
Bible Baptist Church,21354.0,REGION I
Bread of Life Ministries,469.0,REGION I
Buddhist,433.0,REGION I
"Cathedral of Praise, Incorporated",190.0,REGION I
Church of Christ,18583.0,REGION I
Church of Jesus Christ of the Latter Day Saints,19501.0,REGION I
Convention of the Philippine Baptist Church,275.0,REGION I
"Crusaders of the Divine Church of Christ, Incorporated",11406.0,REGION I
Door of Faith,664.0,REGION I
Evangelical Christian Outreach Foundation,1387.0,REGION I
Evangelicals (Philippine Council of Evangelical Churches),156547.0,REGION I
Faith Tabernacle Church (Living Rock Ministries),473.0,REGION I
Good News Christian Churches,691.0,REGION I
Higher Ground Baptist Mission,36.0,REGION I
Iglesia Evangelica Unida de Cristo,19.0,REGION I
Iglesia ni Cristo,173997.0,REGION I
"Iglesia sa Dios Espiritu Santo, Incorporated",1363.0,REGION I
International Baptist Missionary Fellowship,182.0,REGION I
International One Way Outreach,139.0,REGION I
Islam,10801.0,REGION I
Jehovah’s Witness,38909.0,REGION I
"Jesus is Alive Community, Incorporated",732.0,REGION I
Jesus is Lord Church,19758.0,REGION I
Love of Christ International Ministries,235.0,REGION I
Lutheran Church of the Philippines,5493.0,REGION I
Miracle Revival Church of the Philippines,731.0,REGION I
Missionary Baptist Churches of the Philippines,63.0,REGION I
National Council of Churches in the Philippines,193849.0,REGION I
Philippine Benevolent Missionaries Association,343.0,REGION I
Philippine Ecumenical Christian Church,402.0,REGION I
Philippine Good News Ministries,112.0,REGION I
Philippine Grace Gospel,484.0,REGION I
Philippine Independent Catholic Church,2220.0,REGION I
Potter’s House Christian Center,73.0,REGION I
"Roman Catholic, including Catholic Charismatic",4137273.0,REGION I
"Salvation Army, Philippines",1455.0,REGION I
Seventh Day Adventist,17074.0,REGION I
Things to Come,69.0,REGION I
UNIDA Evangelical Church,29.0,REGION I
"Union Espiritista Cristiana de Filipinas, Incorporated",13006.0,REGION I
United Church of Christ in the Philippines,27711.0,REGION I
"United Pentecostal Church (Philippines), Incorporated",24725.0,REGION I
Victory Chapel Christian Fellowship,1588.0,REGION I
"Way of Salvation Church, Incorporated",5420.0,REGION I
Other Baptists,13919.0,REGION I
Other Protestants,8718.0,REGION I
Other Religious Affiliations,56130.0,REGION I
Tribal Religions,1433.0,REGION I
None,89.0,REGION I
Aglipay,3791.0,REGION V
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",53.0,REGION V
Association of Fundamental Baptist Churches in the Philippines,202.0,REGION V
Bible Baptist Church,15335.0,REGION V
Bread of Life Ministries,166.0,REGION V
Buddhist,286.0,REGION V
"Cathedral of Praise, Incorporated",276.0,REGION V
Church of Christ,5704.0,REGION V
Church of Jesus Christ of the Latter Day Saints,11278.0,REGION V
Convention of the Philippine Baptist Church,25.0,REGION V
"Crusaders of the Divine Church of Christ, Incorporated",58.0,REGION V
Door of Faith,167.0,REGION V
Evangelical Christian Outreach Foundation,479.0,REGION V
Evangelicals (Philippine Council of Evangelical Churches),40928.0,REGION V
Faith Tabernacle Church (Living Rock Ministries),72.0,REGION V
Good News Christian Churches,120.0,REGION V
Higher Ground Baptist Mission,11.0,REGION V
Iglesia Evangelica Unida de Cristo,31.0,REGION V
Iglesia ni Cristo,94534.0,REGION V
"Iglesia sa Dios Espiritu Santo, Incorporated",2032.0,REGION V
International Baptist Missionary Fellowship,26.0,REGION V
International One Way Outreach,38.0,REGION V
Islam,7234.0,REGION V
Jehovah’s Witness,17380.0,REGION V
"Jesus is Alive Community, Incorporated",356.0,REGION V
Jesus is Lord Church,12858.0,REGION V
Love of Christ International Ministries,984.0,REGION V
Lutheran Church of the Philippines,33.0,REGION V
Miracle Revival Church of the Philippines,35.0,REGION V
Missionary Baptist Churches of the Philippines,134.0,REGION V
National Council of Churches in the Philippines,34832.0,REGION V
Philippine Benevolent Missionaries Association,193.0,REGION V
Philippine Ecumenical Christian Church,154.0,REGION V
Philippine Good News Ministries,40.0,REGION V
Philippine Grace Gospel,471.0,REGION V
Philippine Independent Catholic Church,840.0,REGION V
Potter’s House Christian Center,55.0,REGION V
"Roman Catholic, including Catholic Charismatic",5425409.0,REGION V
"Salvation Army, Philippines",98.0,REGION V
Seventh Day Adventist,22918.0,REGION V
Things to Come,81.0,REGION V
UNIDA Evangelical Church,146.0,REGION V
"Union Espiritista Cristiana de Filipinas, Incorporated",6.0,REGION V
United Church of Christ in the Philippines,9511.0,REGION V
"United Pentecostal Church (Philippines), Incorporated",7580.0,REGION V
Victory Chapel Christian Fellowship,1515.0,REGION V
"Way of Salvation Church, Incorporated",17.0,REGION V
Other Baptists,6725.0,REGION V
Other Protestants,17816.0,REGION V
Other Religious Affiliations,51771.0,REGION V
Tribal Religions,1671.0,REGION V
None,214.0,REGION V
Not Reported,300.0,REGION V
Aglipay,35339.0,REGION II
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",123.0,REGION II
Association of Fundamental Baptist Churches in the Philippines,872.0,REGION II
Bible Baptist Church,17872.0,REGION II
Bread of Life Ministries,76.0,REGION II
Buddhist,185.0,REGION II
"Cathedral of Praise, Incorporated",59.0,REGION II
Church of Christ,41648.0,REGION II
Church of Jesus Christ of the Latter Day Saints,15423.0,REGION II
Convention of the Philippine Baptist Church,19.0,REGION II
"Crusaders of the Divine Church of Christ, Incorporated",14773.0,REGION II
Door of Faith,120.0,REGION II
Evangelical Christian Outreach Foundation,4845.0,REGION II
Evangelicals (Philippine Council of Evangelical Churches),118076.0,REGION II
Faith Tabernacle Church (Living Rock Ministries),214.0,REGION II
Good News Christian Churches,287.0,REGION II
Higher Ground Baptist Mission,66.0,REGION II
Iglesia ni Cristo,140078.0,REGION II
"Iglesia sa Dios Espiritu Santo, Incorporated",1053.0,REGION II
International Baptist Missionary Fellowship,27.0,REGION II
International One Way Outreach,57.0,REGION II
Islam,6525.0,REGION II
Jehovah’s Witness,37213.0,REGION II
"Jesus is Alive Community, Incorporated",1460.0,REGION II
Jesus is Lord Church,5117.0,REGION II
Love of Christ International Ministries,79.0,REGION II
Lutheran Church of the Philippines,9571.0,REGION II
Miracle Revival Church of the Philippines,1580.0,REGION II
Missionary Baptist Churches of the Philippines,81.0,REGION II
National Council of Churches in the Philippines,134663.0,REGION II
Philippine Benevolent Missionaries Association,54.0,REGION II
Philippine Ecumenical Christian Church,69.0,REGION II
Philippine Good News Ministries,1.0,REGION II
Philippine Grace Gospel,413.0,REGION II
Philippine Independent Catholic Church,3597.0,REGION II
Potter’s House Christian Center,37.0,REGION II
"Roman Catholic, including Catholic Charismatic",2618755.0,REGION II
"Salvation Army, Philippines",885.0,REGION II
Seventh Day Adventist,15770.0,REGION II
Things to Come,13.0,REGION II
UNIDA Evangelical Church,101.0,REGION II
"Union Espiritista Cristiana de Filipinas, Incorporated",57314.0,REGION II
United Church of Christ in the Philippines,13362.0,REGION II
"United Pentecostal Church (Philippines), Incorporated",24614.0,REGION II
Victory Chapel Christian Fellowship,2381.0,REGION II
"Way of Salvation Church, Incorporated",1035.0,REGION II
Other Baptists,5969.0,REGION II
Other Protestants,6374.0,REGION II
Other Religious Affiliations,104979.0,REGION II
Tribal Religions,8084.0,REGION II
None,86.0,REGION II
Not Reported,16.0,REGION II
Aglipay,95424.0,NIR
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",277.0,NIR
Association of Fundamental Baptist Churches in the Philippines,32120.0,NIR
Bible Baptist Church,45289.0,NIR
Bread of Life Ministries,317.0,NIR
Buddhist,320.0,NIR
"Cathedral of Praise, Incorporated",96.0,NIR
Church of Christ,11774.0,NIR
Church of Jesus Christ of the Latter Day Saints,19147.0,NIR
Convention of the Philippine Baptist Church,5162.0,NIR
"Crusaders of the Divine Church of Christ, Incorporated",233.0,NIR
Door of Faith,78.0,NIR
Evangelical Christian Outreach Foundation,2068.0,NIR
Evangelicals (Philippine Council of Evangelical Churches),80574.0,NIR
Faith Tabernacle Church (Living Rock Ministries),263.0,NIR
Good News Christian Churches,106.0,NIR
Higher Ground Baptist Mission,32.0,NIR
Iglesia Evangelica Unida de Cristo,7.0,NIR
Iglesia ni Cristo,76200.0,NIR
"Iglesia sa Dios Espiritu Santo, Incorporated",535.0,NIR
International Baptist Missionary Fellowship,3966.0,NIR
International One Way Outreach,250.0,NIR
Islam,5276.0,NIR
Jehovah’s Witness,14882.0,NIR
"Jesus is Alive Community, Incorporated",85.0,NIR
Jesus is Lord Church,14807.0,NIR
Love of Christ International Ministries,598.0,NIR
Lutheran Church of the Philippines,8.0,NIR
Miracle Revival Church of the Philippines,138.0,NIR
Missionary Baptist Churches of the Philippines,843.0,NIR
National Council of Churches in the Philippines,48466.0,NIR
Philippine Benevolent Missionaries Association,93.0,NIR
Philippine Ecumenical Christian Church,293.0,NIR
Philippine Good News Ministries,14.0,NIR
Philippine Grace Gospel,5775.0,NIR
Philippine Independent Catholic Church,3249.0,NIR
Potter’s House Christian Center,141.0,NIR
"Roman Catholic, including Catholic Charismatic",3564383.0,NIR
"Salvation Army, Philippines",159.0,NIR
Seventh Day Adventist,53769.0,NIR
Things to Come,294.0,NIR
UNIDA Evangelical Church,12.0,NIR
"Union Espiritista Cristiana de Filipinas, Incorporated",101.0,NIR
United Church of Christ in the Philippines,66541.0,NIR
"United Pentecostal Church (Philippines), Incorporated",8651.0,NIR
Victory Chapel Christian Fellowship,4434.0,NIR
"Way of Salvation Church, Incorporated",65.0,NIR
Other Baptists,107344.0,NIR
Other Protestants,23537.0,NIR
Other Religious Affiliations,110590.0,NIR
Tribal Religions,4337.0,NIR
None,567.0,NIR
Not Reported,441.0,NIR
Aglipay,99841.0,REGION III
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",439.0,REGION III
Association of Fundamental Baptist Churches in the Philippines,1987.0,REGION III
Bible Baptist Church,60814.0,REGION III
Bread of Life Ministries,836.0,REGION III
Buddhist,1909.0,REGION III
"Cathedral of Praise, Incorporated",274.0,REGION III
Church of Christ,29085.0,REGION III
Church of Jesus Christ of the Latter Day Saints,25595.0,REGION III
Convention of the Philippine Baptist Church,22.0,REGION III
"Crusaders of the Divine Church of Christ, Incorporated",11177.0,REGION III
Door of Faith,1408.0,REGION III
Evangelical Christian Outreach Foundation,2771.0,REGION III
Evangelicals (Philippine Council of Evangelical Churches),146645.0,REGION III
Faith Tabernacle Church (Living Rock Ministries),88.0,REGION III
Good News Christian Churches,781.0,REGION III
Higher Ground Baptist Mission,75.0,REGION III
Iglesia Evangelica Unida de Cristo,69.0,REGION III
Iglesia ni Cristo,568979.0,REGION III
"Iglesia sa Dios Espiritu Santo, Incorporated",9591.0,REGION III
International Baptist Missionary Fellowship,369.0,REGION III
International One Way Outreach,202.0,REGION III
Islam,39202.0,REGION III
Jehovah’s Witness,43372.0,REGION III
"Jesus is Alive Community, Incorporated",2075.0,REGION III
Jesus is Lord Church,144417.0,REGION III
Love of Christ International Ministries,293.0,REGION III
Lutheran Church of the Philippines,856.0,REGION III
Miracle Revival Church of the Philippines,1266.0,REGION III
Missionary Baptist Churches of the Philippines,383.0,REGION III
National Council of Churches in the Philippines,118466.0,REGION III
Philippine Benevolent Missionaries Association,2588.0,REGION III
Philippine Ecumenical Christian Church,320.0,REGION III
Philippine Good News Ministries,12.0,REGION III
Philippine Grace Gospel,858.0,REGION III
Philippine Independent Catholic Church,1047.0,REGION III
Potter’s House Christian Center,85.0,REGION III
"Roman Catholic, including Catholic Charismatic",9507500.0,REGION III
"Salvation Army, Philippines",493.0,REGION III
Seventh Day Adventist,26753.0,REGION III
Things to Come,69.0,REGION III
UNIDA Evangelical Church,699.0,REGION III
"Union Espiritista Cristiana de Filipinas, Incorporated",22013.0,REGION III
United Church of Christ in the Philippines,7132.0,REGION III
"United Pentecostal Church (Philippines), Incorporated",9343.0,REGION III
Victory Chapel Christian Fellowship,3948.0,REGION III
"Way of Salvation Church, Incorporated",235.0,REGION III
Other Baptists,33387.0,REGION III
Other Protestants,22856.0,REGION III
Other Religious Affiliations,260876.0,REGION III
Tribal Religions,2821.0,REGION III
None,728.0,REGION III
Not Reported,1127.0,REGION III
Aglipay,11915.0,REGION XI
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",269.0,REGION XI
Association of Fundamental Baptist Churches in the Philippines,4596.0,REGION XI
Bible Baptist Church,70221.0,REGION XI
Bread of Life Ministries,296.0,REGION XI
Buddhist,1339.0,REGION XI
"Cathedral of Praise, Incorporated",100.0,REGION XI
Church of Christ,27090.0,REGION XI
Church of Jesus Christ of the Latter Day Saints,10046.0,REGION XI
Convention of the Philippine Baptist Church,492.0,REGION XI
"Crusaders of the Divine Church of Christ, Incorporated",552.0,REGION XI
Door of Faith,130.0,REGION XI
Evangelical Christian Outreach Foundation,24474.0,REGION XI
Evangelicals (Philippine Council of Evangelical Churches),329510.0,REGION XI
Faith Tabernacle Church (Living Rock Ministries),27471.0,REGION XI
Good News Christian Churches,638.0,REGION XI
Higher Ground Baptist Mission,102.0,REGION XI
Iglesia Evangelica Unida de Cristo,418.0,REGION XI
Iglesia ni Cristo,107297.0,REGION XI
"Iglesia sa Dios Espiritu Santo, Incorporated",3530.0,REGION XI
International Baptist Missionary Fellowship,546.0,REGION XI
International One Way Outreach,25702.0,REGION XI
Islam,167879.0,REGION XI
Jehovah’s Witness,45550.0,REGION XI
"Jesus is Alive Community, Incorporated",754.0,REGION XI
Jesus is Lord Church,4498.0,REGION XI
Love of Christ International Ministries,421.0,REGION XI
Lutheran Church of the Philippines,374.0,REGION XI
Miracle Revival Church of the Philippines,361.0,REGION XI
Missionary Baptist Churches of the Philippines,7673.0,REGION XI
National Council of Churches in the Philippines,18824.0,REGION XI
Philippine Benevolent Missionaries Association,335.0,REGION XI
Philippine Ecumenical Christian Church,571.0,REGION XI
Philippine Good News Ministries,66.0,REGION XI
Philippine Grace Gospel,3578.0,REGION XI
Philippine Independent Catholic Church,8609.0,REGION XI
Potter’s House Christian Center,226.0,REGION XI
"Roman Catholic, including Catholic Charismatic",3646453.0,REGION XI
"Salvation Army, Philippines",328.0,REGION XI
Seventh Day Adventist,78983.0,REGION XI
Things to Come,356.0,REGION XI
UNIDA Evangelical Church,111.0,REGION XI
"Union Espiritista Cristiana de Filipinas, Incorporated",2432.0,REGION XI
United Church of Christ in the Philippines,24839.0,REGION XI
"United Pentecostal Church (Philippines), Incorporated",71794.0,REGION XI
Victory Chapel Christian Fellowship,4473.0,REGION XI
"Way of Salvation Church, Incorporated",618.0,REGION XI
Other Baptists,18639.0,REGION XI
Other Protestants,25164.0,REGION XI
Other Religious Affiliations,79453.0,REGION XI
Tribal Religions,29075.0,REGION XI
None,516.0,REGION XI
Not Reported,3631.0,REGION XI
Aglipay,187701.0,REGION VI
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",187.0,REGION VI
Association of Fundamental Baptist Churches in the Philippines,40543.0,REGION VI
Bible Baptist Church,33816.0,REGION VI
Bread of Life Ministries,150.0,REGION VI
Buddhist,350.0,REGION VI
"Cathedral of Praise, Incorporated",51.0,REGION VI
Church of Christ,1733.0,REGION VI
Church of Jesus Christ of the Latter Day Saints,6216.0,REGION VI
Convention of the Philippine Baptist Church,16092.0,REGION VI
"Crusaders of the Divine Church of Christ, Incorporated",110.0,REGION VI
Door of Faith,2165.0,REGION VI
Evangelical Christian Outreach Foundation,573.0,REGION VI
Evangelicals (Philippine Council of Evangelical Churches),65456.0,REGION VI
Faith Tabernacle Church (Living Rock Ministries),260.0,REGION VI
Good News Christian Churches,296.0,REGION VI
Higher Ground Baptist Mission,1.0,REGION VI
Iglesia Evangelica Unida de Cristo,54.0,REGION VI
Iglesia ni Cristo,54751.0,REGION VI
"Iglesia sa Dios Espiritu Santo, Incorporated",450.0,REGION VI
International Baptist Missionary Fellowship,275.0,REGION VI
International One Way Outreach,23.0,REGION VI
Islam,5138.0,REGION VI
Jehovah’s Witness,15521.0,REGION VI
"Jesus is Alive Community, Incorporated",50.0,REGION VI
Jesus is Lord Church,3883.0,REGION VI
Love of Christ International Ministries,55.0,REGION VI
Lutheran Church of the Philippines,736.0,REGION VI
Miracle Revival Church of the Philippines,74.0,REGION VI
Missionary Baptist Churches of the Philippines,979.0,REGION VI
National Council of Churches in the Philippines,22591.0,REGION VI
Philippine Benevolent Missionaries Association,44.0,REGION VI
Philippine Ecumenical Christian Church,146.0,REGION VI
Philippine Good News Ministries,22.0,REGION VI
Philippine Grace Gospel,153.0,REGION VI
Philippine Independent Catholic Church,118.0,REGION VI
Potter’s House Christian Center,82.0,REGION VI
"Roman Catholic, including Catholic Charismatic",3924982.0,REGION VI
"Salvation Army, Philippines",678.0,REGION VI
Seventh Day Adventist,34595.0,REGION VI
Things to Come,28.0,REGION VI
UNIDA Evangelical Church,1.0,REGION VI
"Union Espiritista Cristiana de Filipinas, Incorporated",2.0,REGION VI
United Church of Christ in the Philippines,20418.0,REGION VI
"United Pentecostal Church (Philippines), Incorporated",2543.0,REGION VI
Victory Chapel Christian Fellowship,1027.0,REGION VI
"Way of Salvation Church, Incorporated",25.0,REGION VI
Other Baptists,16015.0,REGION VI
Other Protestants,10654.0,REGION VI
Other Religious Affiliations,4762.0,REGION VI
Tribal Religions,138.0,REGION VI
None,49.0,REGION VI
Not Reported,485.0,REGION VI
Aglipay,39426.0,REGION XII
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",107.0,REGION XII
Association of Fundamental Baptist Churches in the Philippines,4305.0,REGION XII
Bible Baptist Church,20680.0,REGION XII
Bread of Life Ministries,116.0,REGION XII
Buddhist,284.0,REGION XII
"Cathedral of Praise, Incorporated",22.0,REGION XII
Church of Christ,34992.0,REGION XII
Church of Jesus Christ of the Latter Day Saints,4618.0,REGION XII
Convention of the Philippine Baptist Church,497.0,REGION XII
"Crusaders of the Divine Church of Christ, Incorporated",2028.0,REGION XII
Door of Faith,81.0,REGION XII
Evangelical Christian Outreach Foundation,23264.0,REGION XII
Evangelicals (Philippine Council of Evangelical Churches),420772.0,REGION XII
Faith Tabernacle Church (Living Rock Ministries),2200.0,REGION XII
Good News Christian Churches,2180.0,REGION XII
Higher Ground Baptist Mission,22.0,REGION XII
Iglesia Evangelica Unida de Cristo,8.0,REGION XII
Iglesia ni Cristo,88368.0,REGION XII
"Iglesia sa Dios Espiritu Santo, Incorporated",1063.0,REGION XII
International Baptist Missionary Fellowship,578.0,REGION XII
International One Way Outreach,2580.0,REGION XII
Islam,1032824.0,REGION XII
Jehovah’s Witness,21241.0,REGION XII
"Jesus is Alive Community, Incorporated",373.0,REGION XII
Jesus is Lord Church,4058.0,REGION XII
Love of Christ International Ministries,78.0,REGION XII
Lutheran Church of the Philippines,1673.0,REGION XII
Miracle Revival Church of the Philippines,673.0,REGION XII
Missionary Baptist Churches of the Philippines,3080.0,REGION XII
National Council of Churches in the Philippines,36823.0,REGION XII
Philippine Benevolent Missionaries Association,97.0,REGION XII
Philippine Ecumenical Christian Church,87.0,REGION XII
Philippine Good News Ministries,20.0,REGION XII
Philippine Grace Gospel,2230.0,REGION XII
Philippine Independent Catholic Church,2230.0,REGION XII
Potter’s House Christian Center,23.0,REGION XII
"Roman Catholic, including Catholic Charismatic",2319832.0,REGION XII
"Salvation Army, Philippines",2557.0,REGION XII
Seventh Day Adventist,79579.0,REGION XII
Things to Come,150.0,REGION XII
UNIDA Evangelical Church,51.0,REGION XII
"Union Espiritista Cristiana de Filipinas, Incorporated",12461.0,REGION XII
United Church of Christ in the Philippines,38931.0,REGION XII
"United Pentecostal Church (Philippines), Incorporated",47297.0,REGION XII
Victory Chapel Christian Fellowship,1480.0,REGION XII
"Way of Salvation Church, Incorporated",166.0,REGION XII
Other Baptists,63530.0,REGION XII
Other Protestants,79640.0,REGION XII
Other Religious Affiliations,84962.0,REGION XII
Tribal Religions,53841.0,REGION XII
None,598.0,REGION XII
Not Reported,6500.0,REGION XII
